"__NounName","Name","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","BasePriority","ExitCode","HasExited","ExitTime","Handle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"Process","svchost","661","83861504","12021760","6238208","22192",,,"1.53125",,,,,"8",,"False",,"1632","661","840",".","0","",,"1413120","204800",,"22192","22192","6238208","6238208","197112","197112","7000064","7000064","18358272","18358272","217284608","217284608","True","Normal","6238208","6238208","00:00:00.6875000","svchost","1","True","0","System.Diagnostics.ProcessStartInfo","12/15/2015 10:14:54 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.5312500","00:00:00.8437500","83861504","83861504","False",,,,"12021760","12021760",,
"Process","svchost","676","1182720000","18210816","8069120","38032",,,"1.203125",,,,,"8",,"False",,"2660","676","900",".","0","",,"1413120","204800",,"38032","38032","8069120","8069120","186208","186208","9240576","9240576","18944000","18944000","1184505856","1184505856","True","Normal","8069120","8069120","00:00:00.6875000","svchost","1","True","0","System.Diagnostics.ProcessStartInfo","12/15/2015 10:14:54 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.2031250","00:00:00.5156250","1182720000","1182720000","False",,,,"18210816","18210816",,
"Process","svchost","883","1339162624","22601728","18563072","1154136",,,"1.125",,,,,"8",,"False",,"3156","883","1248",".","0","",,"1413120","204800",,"1154136","1154136","18563072","18563072","187856","187856","21168128","21168128","24023040","24023040","1340358656","1340358656","True","Normal","18563072","18563072","00:00:00.7187500","svchost","1","True","0","System.Diagnostics.ProcessStartInfo","12/15/2015 10:14:56 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.1250000","00:00:00.4062500","1339162624","1339162624","False",,,,"22601728","22601728",,
"Process","svchost","109","21463040","4530176","1060864","10832",,,"0.0625",,,,,"8",,"False",,"2396","109","1700",".","0","",,"1413120","204800",,"10832","10832","1060864","1060864","46408","46408","1253376","1253376","4616192","4616192","23191552","23191552","True","Normal","1060864","1060864","00:00:00.0156250","svchost","1","True","0","System.Diagnostics.ProcessStartInfo","12/15/2015 10:15:00 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0625000","00:00:00.0468750","21463040","21463040","False",,,,"4530176","4530176",,
"Process","System","716","3428352","348160","110592","0",,,"40.96875",,,,,"8",,,,,"716","4",".","0","",,,,,"0","0","110592","110592","0","0","278528","278528","5328896","5328896","8404992","8404992",,,"110592","110592","00:00:40.9687500","System",,"True","0","System.Diagnostics.ProcessStartInfo","12/15/2015 10:14:46 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:40.9687500","00:00:00","3428352","3428352","False",,,,"348160","348160",,
"Process","taskhostex","250","241676288","9256960","3129344","16880",,,"1.03125",,,,,"8",,"False",,"2604","250","1416",".","0","",,"1413120","204800",,"16880","16880","3129344","3129344","179696","179696","8601600","8601600","14503936","14503936","249274368","249274368","True","Normal","3129344","3129344","00:00:00.3125000","taskhostex","1","True","1","System.Diagnostics.ProcessStartInfo","12/15/2015 10:19:22 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.0312500","00:00:00.7187500","241676288","241676288","False",,,,"9256960","9256960",,
"Process","VGAuthService","108","68820992","10526720","4444160","10080",,,"0.109375",,,,,"8",,"False",,"1660","108","932",".","0","",,"1413120","204800",,"10080","10080","4444160","4444160","128448","128448","5320704","5320704","11079680","11079680","70008832","70008832","True","Normal","4444160","4444160","00:00:00.0937500","VGAuthService","1","True","0","System.Diagnostics.ProcessStartInfo","12/15/2015 10:14:55 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1093750","00:00:00.0156250","68820992","68820992","False",,,,"10526720","10526720",,
"Process","vmacthlp","67","46620672","4177920","995328","5728",,,"0.015625",,,,,"8",,"False",,"2016","67","688",".","0","",,"1413120","204800",,"5728","5728","995328","995328","94320","94320","1142784","1142784","4231168","4231168","49922048","49922048","True","Normal","995328","995328","00:00:00.0156250","vmacthlp","1","True","0","System.Diagnostics.ProcessStartInfo","12/15/2015 10:14:53 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00","46620672","46620672","False",,,,"4177920","4177920",,
"Process","vmtoolsd","320","90542080","17715200","8798208","22560",,,"3.84375",,,,,"13",,"False",,"3024","320","1088",".","0","",,"1413120","204800",,"22560","22560","8798208","8798208","162768","162768","8814592","8814592","18935808","18935808","90673152","90673152","True","High","8798208","8798208","00:00:02.3750000","vmtoolsd","1","True","0","System.Diagnostics.ProcessStartInfo","12/15/2015 10:14:55 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:03.8437500","00:00:01.4687500","90542080","90542080","False",,,,"17715200","17715200",,
"Process","vmtoolsd","234","118333440","18288640","6152192","22640",,,"2.703125",,,,,"8",,"False",,"1936","234","2720",".","0","",,"1413120","204800",,"22640","22640","6152192","6152192","217568","217568","7274496","7274496","19283968","19283968","124915712","124915712","True","Normal","6152192","6152192","00:00:01.3437500","vmtoolsd","1","True","1","System.Diagnostics.ProcessStartInfo","12/15/2015 10:19:35 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.7031250","00:00:01.3593750","118333440","118333440","False",,,,"18288640","18288640",,
"Process","wininit","79","41594880","3731456","737280","7792",,,"0.078125",,,,,"13",,"False",,"4288","79","376",".","0","",,"1413120","204800",,"7792","7792","737280","737280","89832","89832","1036288","1036288","3784704","3784704","45084672","45084672","True","High","737280","737280","00:00:00.0781250","wininit","1","True","0","System.Diagnostics.ProcessStartInfo","12/15/2015 10:14:51 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0781250","00:00:00","41594880","41594880","False",,,,"3731456","3731456",,
"Process","winlogon","155","54775808","7827456","1269760","9184",,,"0.28125",,,,,"13",,"False",,"1516","155","412",".","0","",,"1413120","204800",,"9184","9184","1269760","1269760","111656","111656","3366912","3366912","13320192","13320192","62296064","62296064","True","High","1269760","1269760","00:00:00.2031250","winlogon","1","True","1","System.Diagnostics.ProcessStartInfo","12/15/2015 10:14:51 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2812500","00:00:00.0781250","54775808","54775808","False",,,,"7827456","7827456",,
"Process","WmiPrvSE","241","69177344","14614528","7532544","15648",,,"6.359375",,,,,"8",,"False",,"4024","241","1788",".","0","",,"1413120","204800",,"15648","15648","7532544","7532544","107344","107344","15273984","15273984","24760320","24760320","111284224","111284224","True","Normal","7532544","7532544","00:00:03.0156250","WmiPrvSE","1","True","0","System.Diagnostics.ProcessStartInfo","12/15/2015 10:15:00 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:06.3593750","00:00:03.3437500","69177344","69177344","False",,,,"14614528","14614528",,
